id,titulo,descricao,orientacao,dicas,etapas_justificativa,imagem,slug,categoria,custo,requer_internet,etapas,plataformas,autor,autor_contato,link,descricao_categoria
24,SymboTalk - AAC Talker,"O 'SymboTalk - AAC Talker' é um sistema de comunicação aumentativa e alternativa (AAC) que utiliza símbolos para facilitar a comunicação de pessoas que possuem dificuldades na fala, como autistas, pessoas com síndrome de Down, ELA, entre outros. Através de pranchas de comunicação personalizáveis, os usuários podem selecionar símbolos que são convertidos em fala. O site permite a criação de pranchas e símbolos próprios, além de oferecer uma biblioteca com mais de 60.000 imagens para escolher.","Para obter o máximo da ferramenta como tecnologia assistiva, é importante configurar os símbolos e pranchas de acordo com as necessidades individuais do usuário. Utilize as funções de personalização para adicionar imagens e gravar áudios específicos que facilitem a comunicação. Certifique-se de configurar o modo de acesso limitado para usuários que necessitam de assistência.","Recomenda-se o uso do SymboTalk em atividades de comunicação diárias e em sala de aula para facilitar a interação dos alunos com seus colegas e professores. É importante que os professores estejam familiarizados com a ferramenta para auxiliar os alunos durante o uso. A funcionalidade de subboards pode ser utilizada para organizar diferentes contextos de comunicação, como escola, casa e lazer.","A tecnologia é especialmente útil para crianças que estão desenvolvendo habilidades de comunicação, oferecendo suporte visual e auditivo para facilitar a interação. As pranchas de símbolos podem ser usadas para auxiliar na expressão de necessidades e sentimentos, promovendo a inclusão social e educacional.",symbotalk.jpg,symbotalk,Comunicação Assistiva,Freemium,Não,Ensino Fundamental - Anos Iniciais; Educação Infantil,Site,Elad Elram,,"Site,https://www.symbotalkapp.com/home;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
25,Expressia: Falar e Aprender,"O ""Expressia: Falar e Aprender"" é um aplicativo voltado para comunicação alternativa e atividades adaptadas. É ideal para pessoas que têm dificuldades de fala, como autistas, indivíduos com dislexia, TDAH, Alzheimer e outras necessidades especiais. Ele permite a criação de pranchas personalizadas com imagens, sons e voz, facilitando a comunicação e o aprendizado em sala de aula. O aplicativo também oferece uma biblioteca online de pranchas e atividades prontas para uso.","Para maximizar o uso do Expressia como ferramenta assistiva, personalize as pranchas e atividades de acordo com as necessidades específicas do aluno. É importante familiarizar-se com as funcionalidades do aplicativo, como adicionar imagens e sons, e verificar periodicamente a Central de Atividades para acessar novos recursos. Além disso, configure o aplicativo para restringir o acesso de crianças às ferramentas de edição para evitar alterações acidentais.","Recomenda-se o uso do Expressia em atividades que promovam a comunicação e o desenvolvimento cognitivo, como exercícios de nomeação, correspondência de figuras e formação de frases. O app é especialmente útil para atividades de estimulação cognitiva em alunos com autismo e outras dificuldades de aprendizagem. Porém, é importante adaptar o ritmo das atividades às capacidades de cada aluno e considerar o uso de materiais impressos, se necessário, para reforçar o aprendizado.","O Expressia é adequado para diferentes etapas de ensino devido à sua flexibilidade e personalização. Para crianças pequenas, ele pode ser usado para o desenvolvimento da comunicação básica. Para alunos mais velhos, o aplicativo oferece suporte na realização de atividades de aprendizado adaptadas às suas necessidades. Já na EJA, pode auxiliar na inclusão de adultos com dificuldades de comunicação.",expressia.jpg,expressia,Comunicação Assistiva,Freemium,Parcialmente,EJA; EJA; Ensino Superior; Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Educação Infantil; Educação Infantil; Ensino Superior,Android; Site,Expressia,https://expressia.life/,"Site,https://web.expressia.life/home;Android,https://play.google.com/store/apps/details?id=life.expressia&hl=pt_BR;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
26,Mudo Que Fala,"""Mudo Que Fala"" é um aplicativo desenvolvido para auxiliar pessoas que não podem falar, permitindo a conversão de texto em voz. Ele é útil para surdos que não dominam a Libras, mas são alfabetizados em português, e para aqueles que precisam de um suporte para a comunicação, como pessoas que passaram por cirurgias ou têm outras limitações temporárias ou permanentes na fala. O aplicativo oferece categorias de palavras pré-definidas e a possibilidade de adicionar novas palavras, com a reprodução do som correspondente.","Para obter o máximo proveito do aplicativo, personalize as palavras e categorias de acordo com as necessidades diárias do usuário. O aplicativo pode ser utilizado tanto em ambientes sociais quanto em contextos educativos. Certifique-se de configurar corretamente o idioma e as vozes disponíveis, considerando as preferências de gênero e estilo de voz do usuário. Além disso, aproveite a funcionalidade offline para garantir a comunicação mesmo sem conexão com a internet.","""Mudo Que Fala"" pode ser integrado em atividades pedagógicas que envolvam comunicação alternativa. É especialmente útil em situações onde os alunos precisam expressar suas necessidades, como em atividades de interação social ou em exercícios de leitura e escrita. O aplicativo também pode ser utilizado em sala de aula para ajudar na inclusão de alunos com deficiências de comunicação. No entanto, é importante que o professor monitore o uso do app para garantir que ele está sendo utilizado de forma eficiente.","O aplicativo é mais adequado para alunos que estão em processo de desenvolvimento da comunicação verbal ou que possuem limitações temporárias ou permanentes de fala. Nas etapas iniciais, ele pode ser utilizado para facilitar a comunicação e a interação com os colegas e professores, enquanto nas etapas mais avançadas ele pode ajudar na expressão de pensamentos e ideias complexas.",mudo-que-fala.jpg,mudo-que-fala,Comunicação Assistiva,Grátis,Não,Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,Android,Robson dos Santos Ribeiro,robson.holy@gmail.com,"Android,https://play.google.com/store/apps/details?id=com.mutespeak.robson.mutespeak3;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
27,Rybená Tradutor Libras Voz,"""Rybená Tradutor Libras Voz"" é um aplicativo de tecnologia assistiva desenvolvido no Brasil que traduz textos do português para Libras e converte português escrito em voz falada. Ele é compatível com os principais navegadores e dispositivos móveis, proporcionando acessibilidade a pessoas com deficiência auditiva para entender textos na internet. Além disso, o aplicativo oferece recursos para aprendizado de Libras.","Para obter o máximo do aplicativo, é importante ajustá-lo conforme as necessidades específicas do usuário, como definir a velocidade da interpretação em Libras. No entanto, devido a relatos de travamentos e erros na tradução, é recomendado testar o app antes de utilizá-lo em situações críticas de comunicação. Certifique-se de sempre atualizar o aplicativo para evitar problemas técnicos.","O Rybená pode ser útil em atividades de introdução à Libras, especialmente para ouvintes que estão começando a aprender a língua. Pode ser usado para traduzir textos curtos em sala de aula, mas é importante monitorar o uso devido às limitações relatadas. É ideal para complementar outras ferramentas de ensino de Libras, mas não deve ser a única fonte de aprendizado.","O aplicativo é indicado para alunos que já possuem alguma familiaridade com a leitura em português e estão começando a aprender Libras. Pode ser uma ferramenta de apoio em salas de aula inclusivas, mas sua eficácia pode ser limitada nas etapas mais avançadas, devido às limitações técnicas e à necessidade de uma compreensão mais profunda da Libras.",rybena.jpg,rybena,Libras: Tradução e Interpretação,Grátis,Sim,Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais,Android,Grupo ICTS,https://www.grupoicts.com.br/,"Android,https://play.google.com/store/apps/details?id=br.com.icts.rybenatorandroid&hl=pt_BR;","Na categoria Libras: Tradução e Interpretação, os aplicativos que traduzem texto em Libras e vice-versa são ferramentas que facilitam a comunicação entre surdos e ouvintes que não dominam Libras. Essas ferramentas são especialmente úteis em aulas com materiais textuais, ajudando na compreensão dos conteúdos. No entanto, é essencial confirmar a precisão das traduções e não depender exclusivamente dessas ferramentas em contextos complexos, onde um intérprete humano pode ser necessário. A recomendação de uso dessas tecnologias é para alunos do Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, uma vez que a tradução precisa de um bom entendimento do contexto, sendo mais adequada para alunos mais avançados."
28,VLibras,"O VLibras é uma suíte de ferramentas de código aberto que traduz automaticamente conteúdos digitais em português para a Língua Brasileira de Sinais (LIBRAS). Desenvolvido pela UFPB com apoio de órgãos governamentais, o aplicativo auxilia na comunicação e na disseminação de Libras, sendo compatível com computadores, smartphones e tablets. Ele não substitui um intérprete humano, mas oferece uma maneira acessível de traduzir textos em ambientes digitais.","Para obter o máximo da ferramenta, é importante garantir uma boa conexão com a internet e evitar textos longos, devido a possíveis travamentos relatados por usuários. Também é útil ajustar a velocidade do avatar e utilizar a função de rotação 360º para uma melhor visualização dos sinais.","O VLibras pode ser integrado em atividades de leitura e interpretação de textos, ajudando alunos surdos a entenderem conteúdos em português. No entanto, é importante complementar o uso do aplicativo com o apoio de intérpretes de Libras e outras ferramentas pedagógicas, devido a limitações na tradução de frases complexas.","O VLibras é adequado para alunos que já possuem uma base em leitura e escrita em português e estão em processo de aprendizagem de Libras. Pode ser usado em etapas iniciais para facilitar a compreensão de textos em sala de aula, mas deve ser complementado com métodos mais avançados nas etapas posteriores.",vlibras.jpg,vlibras,Libras: Tradução e Interpretação,Grátis,Sim,Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais,Android; iOS,Serviços e Informações do Brasil,vlibras@lavid.ufpb.br,"Android,https://play.google.com/store/apps/details?id=com.lavid.vlibrasdroid;iOS,https://apps.apple.com/br/app/vlibras/id1039641615;","Na categoria Libras: Tradução e Interpretação, os aplicativos que traduzem texto em Libras e vice-versa são ferramentas que facilitam a comunicação entre surdos e ouvintes que não dominam Libras. Essas ferramentas são especialmente úteis em aulas com materiais textuais, ajudando na compreensão dos conteúdos. No entanto, é essencial confirmar a precisão das traduções e não depender exclusivamente dessas ferramentas em contextos complexos, onde um intérprete humano pode ser necessário. A recomendação de uso dessas tecnologias é para alunos do Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, uma vez que a tradução precisa de um bom entendimento do contexto, sendo mais adequada para alunos mais avançados."
29,GitalkText,"O GitalkText é uma ferramenta online gratuita que transcreve automaticamente o áudio de vídeos e aulas ao vivo para texto. Pode ser utilizado em diversas plataformas, como YouTube, palestras e qualquer tipo de áudio reproduzido no computador. É especialmente útil para pessoas surdas, pois converte a fala em texto em tempo real, facilitando a compreensão do conteúdo.","Para obter o máximo da ferramenta, utilize fones de ouvido ou garanta um ambiente silencioso para que o áudio capturado seja o mais claro possível. Siga o manual de instruções para configurar corretamente a aplicação no Windows e verifique a qualidade do áudio antes de iniciar a transcrição.","O GitalkText é ideal para ser usado em aulas ao vivo ou em atividades onde o conteúdo é transmitido em áudio, como palestras e vídeos educacionais. Ele pode ser combinado com materiais de apoio em texto, permitindo que os alunos acompanhem e revisem o conteúdo transcrito posteriormente. Evite usá-lo como única fonte de informação, complementando com atividades visuais ou interativas.","GitalkText é mais adequado para alunos que já possuem habilidades de leitura e interpretação de textos. Por ser uma ferramenta de transcrição de áudio, ela se torna mais eficaz para estudantes em níveis de ensino onde o conteúdo auditivo é mais presente, como palestras e vídeos.",gitalktext.jpg,gitalktext,Transcrição de Fala,Grátis,Sim,EJA; Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais,Site,@gitalktext,https://www.instagram.com/gitalktext,"Site,https://gitalktext.com/;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
30,Zapia - Assistente Pessoal IA,"Zapia é um assistente pessoal de inteligência artificial projetado para atender às necessidades do Brasil. Entre suas funcionalidades, estão a transcrição de áudios do WhatsApp, pesquisa de produtos e serviços locais, interpretação de fotos, comunicação por áudio, e suporte em diversas tarefas diárias. Ele pode ser uma ferramenta útil para pessoas surdas, oferecendo transcrições de áudio em texto e informações detalhadas sobre produtos e serviços.","Para utilizar Zapia como tecnologia assistiva, encaminhe áudios recebidos no WhatsApp para o número do Zapia e receba a transcrição em texto. Use o recurso de interpretação de imagens para entender melhor o conteúdo visual e utilize as consultas gerais para acessar informações sobre diversos tópicos.","Zapia pode ser útil em sala de aula para transcrever áudios de professores, aulas gravadas ou discussões em grupo. É recomendável utilizá-lo como suporte, especialmente em atividades onde o áudio é o principal meio de comunicação. Além disso, o assistente pode ajudar a encontrar recursos educacionais e serviços locais que atendam às necessidades dos alunos. Evite depender exclusivamente do Zapia; combine-o com outras ferramentas de acessibilidade.","Zapia é mais eficaz para alunos que já possuem habilidades de leitura e compreensão de texto. Por ser uma ferramenta baseada em inteligência artificial, é indicada para estudantes que lidam com conteúdo mais complexo e que podem se beneficiar de transcrições e informações adicionais.",zapia.jpg,zapia,Comunicação Assistiva,Grátis,Sim,Ensino Superior; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Médio; Ensino Superior; EJA; EJA,iOS; Site,BrainLogic AI SAS,,"Site,https://zapia.com/pt-br;iOS,https://apps.apple.com/br/app/zapia-assistente-pessoal-ia/id6470821480;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
31,SpeakLiz: para pessoas com def,"SpeakLiz é um aplicativo que utiliza Inteligência Artificial para auxiliar na comunicação de pessoas surdas. Ele oferece quatro principais funcionalidades: alerta de som ambiente, conversão de voz em texto, conversão de texto em voz, e tradução de linguagem de sinais (limitada à linguagem de sinais americana).","Para aproveitar ao máximo o SpeakLiz como tecnologia assistiva, é importante testar as funcionalidades em diferentes ambientes e ajustar as configurações conforme necessário. A função de alerta de som ambiente pode ser útil em sala de aula para notificar o aluno sobre sons importantes. Ao utilizar a conversão de voz em texto, garantir uma boa conexão à internet para melhor desempenho.","O aplicativo é recomendado para atividades de leitura e comunicação, especialmente em situações onde o aluno precisa de suporte para entender sons ao seu redor ou para interagir com outros. Não é recomendado para atividades que exijam um alto grau de precisão na interpretação da linguagem de sinais, devido às limitações relatadas pelos usuários.","O SpeakLiz pode ser adaptado para diferentes idades, mas é mais eficaz em contextos onde a comunicação básica e o suporte à leitura são necessários.",speakliz.jpg,speakliz,Comunicação Assistiva,Pago,Parcialmente,EJA; EJA; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Educação Infantil; Educação Infantil; Ensino Médio,Android; iOS,"Talov, Inc.",https://iosworlddeveloper.wixsite.com/talov,"Android,https://play.google.com/store/apps/details?id=com.talovstudio.speakliz&hl=pt_BR;iOS,https://apps.apple.com/us/app/speakliz-for-deaf-people/id1239857536;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
32,Ararajuba,"Ararajuba é uma ferramenta online gratuita desenvolvida pelo Centro Tecnológico de Acessibilidade (CTA) do IFRS. Ela oferece funcionalidades de fala para texto e texto para fala, possibilitando que o usuário dite um texto que é transcrito em tempo real ou digite um texto para que a ferramenta o leia em voz alta. Essa tecnologia pode ser especialmente útil para surdos em sala de aula ao proporcionar maior acessibilidade à comunicação escrita e falada.","Para otimizar o uso da Ararajuba como ferramenta assistiva, utilize-a em conjunto com atividades que demandem conversão de fala para texto ou vice-versa. Certifique-se de que os dispositivos utilizados tenham boa captação de áudio para a função de ditado. Evite ambientes muito ruidosos para garantir a precisão na transcrição do áudio para texto.","Recomenda-se o uso da Ararajuba em atividades de leitura e escrita, como redação ou ditado, além de momentos de estudo em grupo, onde os alunos podem colaborar utilizando a função de transcrição de voz. Evite utilizar a ferramenta em atividades que exijam uma leitura muito técnica, pois a interpretação do áudio pode não ser precisa.","A ferramenta é indicada para todas as etapas de ensino devido à sua simplicidade e funcionalidade, promovendo inclusão e acessibilidade em diversos níveis educacionais.",ararajuba.jpg,ararajuba,Comunicação Assistiva,Grátis,Sim,Ensino Fundamental - Anos Iniciais; Educação Infantil; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Superior; EJA,Site,CTA / IFRS,,"Site,https://cta-ifrs.bitbucket.io/ararajuba/;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
33,Cboard,"Cboard é um aplicativo web gratuito de Comunicação Aumentativa e Alternativa (CAA) voltado para crianças e adultos com problemas de fala e linguagem. Ele auxilia na comunicação utilizando símbolos e conversão de texto em fala. O aplicativo é acessível em várias plataformas, incluindo desktops, tablets e celulares, e pode ser personalizado para atender às necessidades específicas de cada usuário.","Para obter o máximo do Cboard como ferramenta assistiva, personalize as pranchas de comunicação de acordo com as necessidades dos alunos, adicionando símbolos relevantes. Utilize o suporte offline em dispositivos compatíveis para garantir acesso contínuo, mesmo sem internet. Revise periodicamente as pranchas para adaptar conforme o progresso do aluno.","O Cboard é recomendado para atividades de comunicação e expressão, especialmente em situações onde o aluno necessita se expressar visualmente. É útil em atividades de interação social, jogos educativos e construção de frases. Evite usá-lo em atividades que demandem uma comunicação mais rápida e fluida, onde o uso de símbolos possa ser limitado.","O Cboard é flexível e pode ser adaptado para diversas idades e níveis de educação, permitindo uma personalização que atende às necessidades específicas dos alunos em diferentes etapas.",cboard.jpg,cboard,Comunicação Assistiva,Grátis,Não,Ensino Médio; Educação Infantil; Educação Infantil; Educação Infantil; Educação Infantil; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Médio; Ensino Médio; EJA; EJA; EJA; EJA,Android; iOS; Site; Windows,Cboard org,https://www.cboard.io/,"Site,https://app.cboard.io/board/root;Android,https://play.google.com/store/apps/details?id=com.unicef.cboard;iOS,https://apps.apple.com/gb/app/aac-cboard-app/id6453683048;Windows,https://apps.microsoft.com/store/detail/XP9M5KQV699FLR;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
34,Dolphin,"Dolphin é uma ferramenta de comunicação assistiva que permite converter textos escritos em fala e transcrever fala em texto. Voltada para facilitar a comunicação de pessoas com comprometimento na fala e/ou surdas, a ferramenta é simples de usar, gratuita e funciona diretamente no navegador.","Para obter o máximo da ferramenta, é importante utilizar a opção de conversão de texto para fala para facilitar a comunicação em sala de aula, especialmente em atividades que envolvam leitura e expressão oral. Utilize o recurso de transcrição de fala em ambientes onde a leitura do conteúdo é mais eficaz para o aluno surdo. Ajuste o volume e a clareza da fala para melhor compreensão.","Recomenda-se o uso do Dolphin em atividades que exijam comunicação escrita e oral, como apresentações de trabalhos ou leitura em voz alta. O recurso de transcrição de fala pode ser útil em situações de diálogos em grupo, permitindo que o aluno acompanhe a conversa por meio de texto. Não é ideal para atividades que demandem alta interatividade ou respostas rápidas em tempo real.","A flexibilidade da ferramenta permite a adaptação a diferentes níveis de ensino, auxiliando na inclusão e na participação ativa dos alunos com necessidades especiais.",dolphin.jpg,dolphin,Comunicação Assistiva,Grátis,Sim,Ensino Médio; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Finais; Educação Infantil,Site,CTA / IFRS,,"Site,https://cta-ifrs.bitbucket.io/dolphin/;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
35,Plaphoons,"Plaphoons é uma ferramenta de comunicação assistiva voltada para pessoas com deficiências físicas, como paralisia cerebral, transtornos do espectro autista (TEA) e síndrome de Down. Além de ajudar na comunicação, também pode ser utilizada para o aprendizado de leitura e escrita, e no controle do computador para pessoas com dificuldades motoras. Plaphoons possui versões para Windows e Android, sendo especialmente útil em tablets.","Para obter o máximo da ferramenta, é importante personalizar os comunicadores de acordo com as necessidades individuais do usuário. No caso da versão Android, é recomendado evitar o uso de pictogramas muito grandes para não sobrecarregar o programa. A configuração adequada das opções de controle é essencial para usuários com dificuldades motoras.","Plaphoons pode ser utilizado em atividades de sala de aula que envolvem comunicação alternativa e aumentativa, auxiliando alunos com dificuldades motoras e de fala a interagir com os colegas e participar ativamente das atividades. Recomenda-se o uso em atividades que necessitem de suporte visual e comunicação facilitada. Não é ideal para atividades que demandam respostas rápidas e em tempo real, devido à necessidade de configuração e ajustes.","A tecnologia é flexível e pode ser adaptada para diferentes níveis de ensino, auxiliando na inclusão de alunos com necessidades especiais ao longo de sua trajetória educacional.",plaphoons.jpg,plaphoons,Comunicação Assistiva,Grátis,Parcialmente,Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Educação Infantil; Educação Infantil,Android; Windows,Jordi Lagares Roset,http://www.xtec.cat/~jlagares/,"Android,https://play.google.com/store/apps/details?id=com.projectefressa.Plaphoons&hl=pt_BR;Windows,https://projectefressa.blogspot.com/2016/01/plaphoons-download.html;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
36,Picto4Me,"Picto4Me é uma aplicação web que permite criar, executar, compartilhar e conversar através de pranchas de comunicação pictográficas. É projetado para ser simples e poderoso, permitindo que educadores e terapeutas criem tarefas para educação especial e terapia clínica. A ferramenta é integrada ao Google Drive, onde os projetos são armazenados, e oferece uma ampla gama de imagens, além de permitir a busca por pictogramas na web.","Para obter o máximo da ferramenta, é importante explorar as bibliotecas de imagens disponíveis e personalizar as pranchas de comunicação de acordo com as necessidades específicas de cada aluno. A integração com o Google Drive facilita o armazenamento e o compartilhamento dos projetos, garantindo que eles estejam acessíveis em diferentes dispositivos. Utilize a função de mensagens pictográficas e audíveis no Telegram para expandir a comunicação entre usuários.","O Picto4Me é especialmente útil para atividades que envolvem comunicação alternativa, como ajudar alunos não verbais a expressarem suas necessidades e sentimentos. Pode ser utilizado em atividades de sala de aula para criar histórias sociais, ajudar na compreensão de rotinas diárias, ou mesmo para ensinar novos conceitos por meio de representações visuais. Não é recomendado para atividades que exigem interação verbal direta.","A tecnologia é adaptável a diferentes níveis de ensino, sendo especialmente útil para alunos que apresentam dificuldades de comunicação, permitindo um ambiente de aprendizado mais inclusivo.",picto4me.jpg,picto4me,Comunicação Assistiva,Freemium,Parcialmente,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,Site,Zoqui LTDA,,"Site,https://picto4.me/site;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
